20.94	-3.9820
20.95	-3.9821
20.95	-3.9822
20.95	-3.9822
20.94	-3.9828
20.94	-3.9836
20.94	-3.9847
20.94	-3.9859
20.94	-3.9875
20.94	-3.9895
20.94	-3.9919
20.94	-3.9941
20.94	-3.9968
20.94	-3.9994
20.94	-4.0023
20.94	-4.0050
20.95	-4.0080
20.95	-4.0109
20.94	-4.0140
20.94	-4.0167
20.94	-4.0196
20.94	-4.0225
20.94	-4.0252
20.94	-4.0278
20.94	-4.0304
20.94	-4.0329
20.95	-4.0354
20.95	-4.0375
20.94	-4.0397
20.94	-4.0417
20.94	-4.0435
20.94	-4.0454
20.94	-4.0469
20.94	-4.0484
20.94	-4.0499
20.95	-4.0509
20.95	-4.0519
20.95	-4.0530
20.95	-4.0537
20.95	-4.0543
20.95	-4.0547
20.95	-4.0554
20.96	-4.0556
20.96	-4.0556
20.96	-4.0558
20.96	-4.0557
20.96	-4.0557
20.96	-4.0553
20.96	-4.0550
20.96	-4.0544
20.96	-4.0538
20.97	-4.0530
20.97	-4.0526
20.97	-4.0516
20.97	-4.0506
20.97	-4.0496
20.97	-4.0485
20.97	-4.0474
20.98	-4.0460
20.98	-4.0450
20.98	-4.0434
20.98	-4.0418
20.99	-4.0402
20.98	-4.0387
20.98	-4.0371
20.99	-4.0351
20.98	-4.0336
20.99	-4.0316
20.99	-4.0297
20.99	-4.0278
20.98	-4.0259
20.99	-4.0237
20.99	-4.0215
20.99	-4.0193
21.00	-4.0170
21.00	-4.0148
21.00	-4.0125
21.00	-4.0101
21.00	-4.0077
21.01	-4.0051
21.01	-4.0025
21.01	-3.9998
21.01	-3.9972
21.01	-3.9945
21.01	-3.9918
21.02	-3.9890
21.02	-3.9859
21.02	-3.9832
21.03	-3.9804
21.03	-3.9772
21.03	-3.9741
21.03	-3.9709
21.03	-3.9679
21.04	-3.9649
21.04	-3.9615
21.04	-3.9585
21.04	-3.9551
21.04	-3.9517
21.05	-3.9484
21.05	-3.9450
21.05	-3.9415
21.05	-3.9380
21.05	-3.9343
21.05	-3.9307
21.06	-3.9270
21.06	-3.9235
21.06	-3.9198
21.06	-3.9159
21.06	-3.9121
21.07	-3.9084
21.07	-3.9046
21.07	-3.9007
21.07	-3.8970
21.07	-3.8928
21.08	-3.8892
21.09	-3.8850
21.08	-3.8810
21.09	-3.8769
21.09	-3.8731
21.09	-3.8689
21.09	-3.8648
21.09	-3.8608
21.09	-3.8565
21.10	-3.8526
21.10	-3.8483
21.11	-3.8441
21.11	-3.8400
21.11	-3.8359
21.11	-3.8316
21.11	-3.8274
21.12	-3.8233
21.12	-3.8188
21.12	-3.8149
21.12	-3.8105
21.12	-3.8062
21.13	-3.8018
21.13	-3.7978
21.13	-3.7933
21.13	-3.7892
21.14	-3.7848
21.14	-3.7807
21.14	-3.7765
21.14	-3.7721
21.15	-3.7680
21.15	-3.7638
21.15	-3.7595
21.15	-3.7555
21.15	-3.7512
21.16	-3.7473
21.16	-3.7429
21.16	-3.7387
21.16	-3.7347
21.17	-3.7307
21.17	-3.7266
21.17	-3.7224
21.17	-3.7186
21.17	-3.7144
21.17	-3.7105
21.18	-3.7065
21.18	-3.7024
21.18	-3.6986
21.18	-3.6948
21.19	-3.6907
21.19	-3.6871
21.19	-3.6833
21.20	-3.6793
21.20	-3.6755
21.20	-3.6720
21.20	-3.6681
21.20	-3.6643
21.20	-3.6610
21.21	-3.6572
21.22	-3.6535
21.22	-3.6499
21.22	-3.6465
21.22	-3.6431
21.22	-3.6395
21.22	-3.6360
21.22	-3.6328
21.22	-3.6294
21.23	-3.6260
21.23	-3.6226
21.24	-3.6195
21.24	-3.6164
21.24	-3.6132
21.24	-3.6100
21.24	-3.6068
21.24	-3.6038
21.25	-3.6010
21.25	-3.5981
21.25	-3.5949
21.25	-3.5921
21.25	-3.5892
21.25	-3.5863
21.25	-3.5836
21.25	-3.5810
21.26	-3.5781
21.27	-3.5757
21.27	-3.5728
21.28	-3.5705
21.28	-3.5678
21.28	-3.5655
21.29	-3.5632
21.29	-3.5608
21.29	-3.5583
21.29	-3.5561
21.30	-3.5538
21.30	-3.5516
21.30	-3.5494
21.30	-3.5472
21.31	-3.5450
21.31	-3.5430
21.31	-3.5411
21.31	-3.5389
21.31	-3.5370
21.31	-3.5352
21.31	-3.5334
21.32	-3.5315
21.32	-3.5297
21.32	-3.5281
21.32	-3.5262
21.33	-3.5245
21.33	-3.5231
21.34	-3.5215
21.34	-3.5199
21.34	-3.5184
21.34	-3.5169
21.34	-3.5154
21.34	-3.5142
21.35	-3.5128
21.35	-3.5115
21.35	-3.5100
21.35	-3.5088
21.36	-3.5077
21.36	-3.5066
21.37	-3.5055
21.37	-3.5042
21.38	-3.5033
21.38	-3.5023
21.38	-3.5014
21.38	-3.5004
21.38	-3.4996
21.38	-3.4986
21.38	-3.4977
