	Temperature (C)	Heat Flow (W/g)
1035	30.99	0.00040019985182082607
1036	31.0	0.0003964544097807554
1037	31.01	0.0004760429003356492
1038	31.02	0.00043896532493326035
1039	31.03	0.00041617406597316275
1040	31.04	0.00036481198204674214
1041	31.05	0.0004277362174591737
1042	31.06	0.00046566105937317914
1043	31.07	0.0005535865092345382
1044	31.08	0.00044651256849004284
1045	31.09	0.00034610590525163687
1046	31.1	0.0004923665209646266
1047	31.11	0.00038029441707232436
1048	31.12	0.0004182229283524741
1049	31.13	0.0005111520562484095
1050	31.14	0.0004940818022030058
1051	31.15	0.000607012167660681
1052	31.16	0.0006199431540632183
1053	31.17	0.0005828747628515707
1054	31.18	0.0007458069954675572
1055	31.19	0.0007837398533512285
1056	31.2	0.0005550066712771695
1057	31.21	0.000509607450685845
1058	31.22	0.0005808755263521093
1059	31.23	0.0005604775663834438
1060	31.24	0.00047341357221908353
1061	31.25	0.00038635021196675723
1062	31.26	0.00039928748706730133
1063	31.27	0.00039222539896099917
1064	31.28	0.00032516394908643775
1065	31.29	0.0003381031388833833
1066	31.3	0.00027104296979230114
1067	31.31	0.0004389834432512174
1068	31.32	0.00040549598927075436
1069	31.33	0.00038986632357485007
1070	31.34	0.00037780873331616505
1071	31.35	0.0003757517913616226
1072	31.36	0.0004786954991478076
1073	31.37	0.00037497319144286223
1074	31.38	0.00039458486968158013
1075	31.39	0.0003425305352977581
1076	31.4	0.00026381018972454484
1077	31.41	0.0002434238343944628
1078	31.42	0.00010637147073788711
1079	31.43	0.00015265310018763856
1080	31.44	0.0001989353908400382
1081	31.45	0.000130932629839986
1082	31.46	5.816862814134183e-05
1083	31.47	7.11195776501583e-05
1084	31.48	0.00010407119408206711
1085	31.49	0.00019702347886640936
1086	31.5	0.00026997643343218414
1087	31.51	0.00010293005920969378
1088	31.52	3.58843576253598e-05
1089	31.53	2.883933010666695e-05
1090	31.54	6.179497808123102e-05
1091	31.55	4.617987440491689e-05
1092	31.56	0.0001210416395531766
1093	31.57	0.00027566598923911556
1094	31.58	0.00036362435346104505
1095	31.59	0.0006265834003134074
1096	31.6	0.0007538288455073427
1097	31.61	0.000719170214278364
1098	31.62	0.0009154646509097475
1099	31.63	0.0010284264425419742
1100	31.64	0.001191388923932557
1101	31.65	0.0010443520965068842
1102	31.66	0.001050649295021966
1103	31.67	0.0009969471875690417
1104	31.68	0.0009432457755718104
1105	31.69	0.0009562117271211257
1106	31.7	0.0007491783769721927
1107	31.71	0.0007321457265496711
1108	31.72	0.0006951137772759353
1109	31.73	0.0006080825305727622
1110	31.74	0.00048771865452756913
1111	31.75	0.0002465221505616455
1112	31.76	1.365968676214635e-05
1113	31.77	-0.00014003540211948717
1114	31.78	-0.00016706311466307966
1115	31.79	-0.0004640901161176991
1116	31.8	-0.0005261164050622824
1117	31.81	-0.0003548086467448641
1118	31.82	-0.0004001668397450864
1119	31.83	-0.000582190982643116
1120	31.84	-0.0005158810740186759
1121	31.85	-0.000619570445783868
1122	31.86	-0.000623259096515838
1123	31.87	-0.000560280358126608
1124	31.88	-0.0005973008958592985
1125	31.89	-0.0006093207082886742
1126	31.9	-0.0005713397939883791
1127	31.91	-0.000525024818198716
1128	31.92	-0.00047870911282688056
1129	31.93	-0.0003573926764448565
1130	31.94	-0.00031940884095948974
1131	31.95	-0.0001464242716084918
1132	31.96	-0.00024343896696388256
1133	31.97	-2.045292559715861e-05
1134	31.98	-4.246614608183208e-05
1135	31.99	4.552137301017112e-05
1136	32.0	8.35096331055496e-05
1137	32.01	0.0002464986356311982
1138	32.02	0.000259488382011952
1139	32.03	0.0004308122070062481
1140	32.04	0.0004104701120368759
1141	32.05	0.0005234620985254956
1142	32.06	0.0006614548345593718
1143	32.07	0.0008494483215586435
1144	32.08	0.0009374425609429693
1145	32.09	0.001058770887464533
1146	32.1	0.001238433302541253
1147	32.11	0.0014680964742583846
1148	32.12	0.0015344270707000618
1149	32.13	0.0017024250932822227
1150	32.14	0.001700423876755064
1151	32.15	0.0016534234225331623
1152	32.16	0.0016664237320305197
1153	32.17	0.0018508533780905445
1154	32.18	0.0017924266478410722
1155	32.19	0.002105429256981317
1156	32.2	0.0021612897783529483
1157	32.21	0.002306436784798027
1158	32.22	0.0024194417063005957
1159	32.23	0.0024574474014160685
1160	32.24	0.0026454538715583453
1161	32.25	0.0026834611181381085
1162	32.26	0.0026964691425677145
1163	32.27	0.002842811279590851
1164	32.28	0.0029824875306183607
1165	32.29	0.002902164563728604
1166	32.3	0.0028770804755682278
1167	32.31	0.0028115209818317943
1168	32.32	0.0029745337029760677
1169	32.33	0.0029275472118381884
1170	32.34	0.002983894843158641
1171	32.35	0.003063576598345108
1172	32.36	0.0030932591454715386
1173	32.37	0.0030729424859412546
1174	32.38	0.00297262662116049
1175	32.39	0.0028989782191994884
1176	32.4	0.0028786639481270804
1177	32.41	0.002891683809346901
1178	32.42	0.0030475616137830563
1179	32.43	0.003051059267599854
1180	32.44	0.0029974148674378753
1181	32.45	0.00292710460517398
1182	32.46	0.0029901284822106966
1183	32.47	0.0029698198332801518
1184	32.48	0.0029828453264473254
1185	32.49	0.002962538296443995
1186	32.5	0.002883898744668656
1187	32.51	0.00282192667251957
1188	32.52	0.00283495541472778
1189	32.53	0.002881318306025893
1190	32.54	0.0028110153478131394
1191	32.55	0.00287404654148693
1192	32.56	0.0028537452217798354
1193	32.57	0.0029001113900863906
1194	32.58	0.0029274307620892337
1195	32.59	0.0029461795296614746
1196	32.6	0.003089214837054044
1197	32.61	0.0031855843047110532
1198	32.62	0.0031986212673609238
1199	32.63	0.00323832572639704
1200	32.64	0.0033246976832157493
1201	32.65	0.003029403805876907
1202	32.66	0.0031174440957753013
1203	32.67	0.0031019137923995466
1204	32.68	0.003143527182856154
1205	32.69	0.0032065699828249805
1206	32.7	0.0032196136222690797
1207	32.71	0.0032626581025820833
1208	32.72	0.0032623700918232856
1209	32.73	0.0031587495913858454
1210	32.74	0.0031717966026616473
1211	32.75	0.003234844460377584
1212	32.76	0.003181226499257228
1213	32.77	0.003185942720693724
1214	32.78	0.0032489931260792915
1215	32.79	0.0030703777168041846
1216	32.8	0.0029000964942595964
1217	32.81	0.002879816126503343
1218	32.82	0.0030262032815948636
1219	32.83	0.002972591294258198
1220	32.84	0.0030023134992194223
1221	32.85	0.002848703231202343
1222	32.86	0.0026284271582648344
1223	32.87	0.0027414852817964075
1224	32.88	0.00277121093652255
1225	32.89	0.0025842707904990547
1226	32.9	0.002602093416544271
1227	32.91	0.0026437264350938072
1228	32.92	0.002856788895154949
1229	32.93	0.0028298522266858583
1230	32.94	0.0028162497644079743
1231	32.95	0.0027959815097093887
1232	32.96	0.0027290474639767304
1233	32.97	0.0028721142952625733
1234	32.98	0.002918515338287353
1235	32.99	0.0028482505944356085
1236	33.0	0.0027363200650927233
1237	33.01	0.0026743904183086364
1238	33.02	0.002537461655467421
1239	33.03	0.002650533777951658
1240	33.04	0.0025136067871436296
1241	33.05	0.0025516806844274598
1242	33.06	0.0026064221378518937
1243	33.07	0.002552831148797896
1244	33.08	0.002505907718648892
1245	33.09	0.002438985182121378
1246	33.1	0.0025170635405968866
1247	33.11	0.002605142795458981
1248	33.12	0.002568222948087673
1249	33.13	0.0026455897141506313
1250	33.14	0.002811052618836296
1251	33.15	0.0030774688063814892
1252	33.16	0.003170552563878548
1253	33.17	0.0032979229403244936
1254	33.18	0.0033717227942400285
1255	33.19	0.003443142603193561
1256	33.2	0.0034895633209415244
1257	33.21	0.0035109849488592637
1258	33.22	0.0035990741549873917
1259	33.23	0.0035021642740344916
1260	33.24	0.0034252553073774727
1261	33.25	0.0034383472563894735
1262	33.26	0.0032414401224469813
1263	33.27	0.0030145339069238553
1264	33.28	0.0028776286111953375
1265	33.29	0.0029907242366364883
1266	33.3	0.002753820784621386
1267	33.31	0.0026669182565224325
1268	33.32	0.002480016653713779
1269	33.33	0.0023681159775676974
1270	33.34	0.00227288289612515
1271	33.35	0.0021193174107572155
1272	33.36	0.002232419522838036
1273	33.37	0.0022455225670738876
1274	33.38	0.0020752932115044587
1275	33.39	0.002005064790835842
1276	33.4	0.00198483730644039
1277	33.41	0.001972944093024065
1278	33.42	0.002086051818626533
1279	33.43	0.002074160484619725
1280	33.44	0.0021372700923762977
1281	33.45	0.0022503806432681017
1282	33.46	0.0022634921386655016
